sepal_length,sepal_width,petal_length,petal_width,target,species,flower_id,event_timestamp
5.1,3.5,1.4,0.2,0,setosa,1,2025-11-08 05:52:04.518072
4.9,3.0,1.4,0.2,0,setosa,2,2025-11-08 05:52:04.518072
4.7,3.2,1.3,0.2,0,setosa,3,2025-11-08 05:52:04.518072
4.6,3.1,1.5,0.2,0,setosa,4,2025-11-08 05:52:04.518072
5.0,3.6,1.4,0.2,0,setosa,5,2025-11-08 05:52:04.518072
5.4,3.9,1.7,0.4,0,setosa,6,2025-11-08 05:52:04.518072
4.6,3.4,1.4,0.3,0,setosa,7,2025-11-08 05:52:04.518072
5.0,3.4,1.5,0.2,0,setosa,8,2025-11-08 05:52:04.518072
4.4,2.9,1.4,0.2,0,setosa,9,2025-11-08 05:52:04.518072
4.9,3.1,1.5,0.1,0,setosa,10,2025-11-08 05:52:04.518072
5.4,3.7,1.5,0.2,0,setosa,11,2025-11-08 05:52:04.518072
4.8,3.4,1.6,0.2,0,setosa,12,2025-11-08 05:52:04.518072
4.8,3.0,1.4,0.1,0,setosa,13,2025-11-08 05:52:04.518072
4.3,3.0,1.1,0.1,0,setosa,14,2025-11-08 05:52:04.518072
5.8,4.0,1.2,0.2,0,setosa,15,2025-11-08 05:52:04.518072
5.7,4.4,1.5,0.4,0,setosa,16,2025-11-08 05:52:04.518072
5.4,3.9,1.3,0.4,0,setosa,17,2025-11-08 05:52:04.518072
5.1,3.5,1.4,0.3,0,setosa,18,2025-11-08 05:52:04.518072
5.7,3.8,1.7,0.3,0,setosa,19,2025-11-08 05:52:04.518072
5.1,3.8,1.5,0.3,0,setosa,20,2025-11-08 05:52:04.518072
5.4,3.4,1.7,0.2,0,setosa,21,2025-11-08 05:52:04.518072
5.1,3.7,1.5,0.4,0,setosa,22,2025-11-08 05:52:04.518072
4.6,3.6,1.0,0.2,0,setosa,23,2025-11-08 05:52:04.518072
5.1,3.3,1.7,0.5,0,setosa,24,2025-11-08 05:52:04.518072
4.8,3.4,1.9,0.2,0,setosa,25,2025-11-08 05:52:04.518072
5.0,3.0,1.6,0.2,0,setosa,26,2025-11-08 05:52:04.518072
5.0,3.4,1.6,0.4,0,setosa,27,2025-11-08 05:52:04.518072
5.2,3.5,1.5,0.2,0,setosa,28,2025-11-08 05:52:04.518072
5.2,3.4,1.4,0.2,0,setosa,29,2025-11-08 05:52:04.518072
4.7,3.2,1.6,0.2,0,setosa,30,2025-11-08 05:52:04.518072
4.8,3.1,1.6,0.2,0,setosa,31,2025-11-08 05:52:04.518072
5.4,3.4,1.5,0.4,0,setosa,32,2025-11-08 05:52:04.518072
5.2,4.1,1.5,0.1,0,setosa,33,2025-11-08 05:52:04.518072
5.5,4.2,1.4,0.2,0,setosa,34,2025-11-08 05:52:04.518072
4.9,3.1,1.5,0.2,0,setosa,35,2025-11-08 05:52:04.518072
5.0,3.2,1.2,0.2,0,setosa,36,2025-11-08 05:52:04.518072
5.5,3.5,1.3,0.2,0,setosa,37,2025-11-08 05:52:04.518072
4.9,3.6,1.4,0.1,0,setosa,38,2025-11-08 05:52:04.518072
4.4,3.0,1.3,0.2,0,setosa,39,2025-11-08 05:52:04.518072
5.1,3.4,1.5,0.2,0,setosa,40,2025-11-08 05:52:04.518072
5.0,3.5,1.3,0.3,0,setosa,41,2025-11-08 05:52:04.518072
4.5,2.3,1.3,0.3,0,setosa,42,2025-11-08 05:52:04.518072
4.4,3.2,1.3,0.2,0,setosa,43,2025-11-08 05:52:04.518072
5.0,3.5,1.6,0.6,0,setosa,44,2025-11-08 05:52:04.518072
5.1,3.8,1.9,0.4,0,setosa,45,2025-11-08 05:52:04.518072
4.8,3.0,1.4,0.3,0,setosa,46,2025-11-08 05:52:04.518072
5.1,3.8,1.6,0.2,0,setosa,47,2025-11-08 05:52:04.518072
4.6,3.2,1.4,0.2,0,setosa,48,2025-11-08 05:52:04.518072
5.3,3.7,1.5,0.2,0,setosa,49,2025-11-08 05:52:04.518072
5.0,3.3,1.4,0.2,0,setosa,50,2025-11-08 05:52:04.518072
7.0,3.2,4.7,1.4,1,versicolor,51,2025-11-08 05:52:04.518072
6.4,3.2,4.5,1.5,1,versicolor,52,2025-11-08 05:52:04.518072
6.9,3.1,4.9,1.5,1,versicolor,53,2025-11-08 05:52:04.518072
5.5,2.3,4.0,1.3,1,versicolor,54,2025-11-08 05:52:04.518072
6.5,2.8,4.6,1.5,1,versicolor,55,2025-11-08 05:52:04.518072
5.7,2.8,4.5,1.3,1,versicolor,56,2025-11-08 05:52:04.518072
6.3,3.3,4.7,1.6,1,versicolor,57,2025-11-08 05:52:04.518072
4.9,2.4,3.3,1.0,1,versicolor,58,2025-11-08 05:52:04.518072
6.6,2.9,4.6,1.3,1,versicolor,59,2025-11-08 05:52:04.518072
5.2,2.7,3.9,1.4,1,versicolor,60,2025-11-08 05:52:04.518072
5.0,2.0,3.5,1.0,1,versicolor,61,2025-11-08 05:52:04.518072
5.9,3.0,4.2,1.5,1,versicolor,62,2025-11-08 05:52:04.518072
6.0,2.2,4.0,1.0,1,versicolor,63,2025-11-08 05:52:04.518072
6.1,2.9,4.7,1.4,1,versicolor,64,2025-11-08 05:52:04.518072
5.6,2.9,3.6,1.3,1,versicolor,65,2025-11-08 05:52:04.518072
6.7,3.1,4.4,1.4,1,versicolor,66,2025-11-08 05:52:04.518072
5.6,3.0,4.5,1.5,1,versicolor,67,2025-11-08 05:52:04.518072
5.8,2.7,4.1,1.0,1,versicolor,68,2025-11-08 05:52:04.518072
6.2,2.2,4.5,1.5,1,versicolor,69,2025-11-08 05:52:04.518072
5.6,2.5,3.9,1.1,1,versicolor,70,2025-11-08 05:52:04.518072
5.9,3.2,4.8,1.8,1,versicolor,71,2025-11-08 05:52:04.518072
6.1,2.8,4.0,1.3,1,versicolor,72,2025-11-08 05:52:04.518072
6.3,2.5,4.9,1.5,1,versicolor,73,2025-11-08 05:52:04.518072
6.1,2.8,4.7,1.2,1,versicolor,74,2025-11-08 05:52:04.518072
6.4,2.9,4.3,1.3,1,versicolor,75,2025-11-08 05:52:04.518072
6.6,3.0,4.4,1.4,1,versicolor,76,2025-11-08 05:52:04.518072
6.8,2.8,4.8,1.4,1,versicolor,77,2025-11-08 05:52:04.518072
6.7,3.0,5.0,1.7,1,versicolor,78,2025-11-08 05:52:04.518072
6.0,2.9,4.5,1.5,1,versicolor,79,2025-11-08 05:52:04.518072
5.7,2.6,3.5,1.0,1,versicolor,80,2025-11-08 05:52:04.518072
5.5,2.4,3.8,1.1,1,versicolor,81,2025-11-08 05:52:04.518072
5.5,2.4,3.7,1.0,1,versicolor,82,2025-11-08 05:52:04.518072
5.8,2.7,3.9,1.2,1,versicolor,83,2025-11-08 05:52:04.518072
6.0,2.7,5.1,1.6,1,versicolor,84,2025-11-08 05:52:04.518072
5.4,3.0,4.5,1.5,1,versicolor,85,2025-11-08 05:52:04.518072
6.0,3.4,4.5,1.6,1,versicolor,86,2025-11-08 05:52:04.518072
6.7,3.1,4.7,1.5,1,versicolor,87,2025-11-08 05:52:04.518072
6.3,2.3,4.4,1.3,1,versicolor,88,2025-11-08 05:52:04.518072
5.6,3.0,4.1,1.3,1,versicolor,89,2025-11-08 05:52:04.518072
5.5,2.5,4.0,1.3,1,versicolor,90,2025-11-08 05:52:04.518072
5.5,2.6,4.4,1.2,1,versicolor,91,2025-11-08 05:52:04.518072
6.1,3.0,4.6,1.4,1,versicolor,92,2025-11-08 05:52:04.518072
5.8,2.6,4.0,1.2,1,versicolor,93,2025-11-08 05:52:04.518072
5.0,2.3,3.3,1.0,1,versicolor,94,2025-11-08 05:52:04.518072
5.6,2.7,4.2,1.3,1,versicolor,95,2025-11-08 05:52:04.518072
5.7,3.0,4.2,1.2,1,versicolor,96,2025-11-08 05:52:04.518072
5.7,2.9,4.2,1.3,1,versicolor,97,2025-11-08 05:52:04.518072
6.2,2.9,4.3,1.3,1,versicolor,98,2025-11-08 05:52:04.518072
5.1,2.5,3.0,1.1,1,versicolor,99,2025-11-08 05:52:04.518072
5.7,2.8,4.1,1.3,1,versicolor,100,2025-11-08 05:52:04.518072
6.3,3.3,6.0,2.5,2,virginica,101,2025-11-08 05:52:04.518072
5.8,2.7,5.1,1.9,2,virginica,102,2025-11-08 05:52:04.518072
7.1,3.0,5.9,2.1,2,virginica,103,2025-11-08 05:52:04.518072
6.3,2.9,5.6,1.8,2,virginica,104,2025-11-08 05:52:04.518072
6.5,3.0,5.8,2.2,2,virginica,105,2025-11-08 05:52:04.518072
7.6,3.0,6.6,2.1,2,virginica,106,2025-11-08 05:52:04.518072
4.9,2.5,4.5,1.7,2,virginica,107,2025-11-08 05:52:04.518072
7.3,2.9,6.3,1.8,2,virginica,108,2025-11-08 05:52:04.518072
6.7,2.5,5.8,1.8,2,virginica,109,2025-11-08 05:52:04.518072
7.2,3.6,6.1,2.5,2,virginica,110,2025-11-08 05:52:04.518072
6.5,3.2,5.1,2.0,2,virginica,111,2025-11-08 05:52:04.518072
6.4,2.7,5.3,1.9,2,virginica,112,2025-11-08 05:52:04.518072
6.8,3.0,5.5,2.1,2,virginica,113,2025-11-08 05:52:04.518072
5.7,2.5,5.0,2.0,2,virginica,114,2025-11-08 05:52:04.518072
5.8,2.8,5.1,2.4,2,virginica,115,2025-11-08 05:52:04.518072
6.4,3.2,5.3,2.3,2,virginica,116,2025-11-08 05:52:04.518072
6.5,3.0,5.5,1.8,2,virginica,117,2025-11-08 05:52:04.518072
7.7,3.8,6.7,2.2,2,virginica,118,2025-11-08 05:52:04.518072
7.7,2.6,6.9,2.3,2,virginica,119,2025-11-08 05:52:04.518072
6.0,2.2,5.0,1.5,2,virginica,120,2025-11-08 05:52:04.518072
6.9,3.2,5.7,2.3,2,virginica,121,2025-11-08 05:52:04.518072
5.6,2.8,4.9,2.0,2,virginica,122,2025-11-08 05:52:04.518072
7.7,2.8,6.7,2.0,2,virginica,123,2025-11-08 05:52:04.518072
6.3,2.7,4.9,1.8,2,virginica,124,2025-11-08 05:52:04.518072
6.7,3.3,5.7,2.1,2,virginica,125,2025-11-08 05:52:04.518072
7.2,3.2,6.0,1.8,2,virginica,126,2025-11-08 05:52:04.518072
6.2,2.8,4.8,1.8,2,virginica,127,2025-11-08 05:52:04.518072
6.1,3.0,4.9,1.8,2,virginica,128,2025-11-08 05:52:04.518072
6.4,2.8,5.6,2.1,2,virginica,129,2025-11-08 05:52:04.518072
7.2,3.0,5.8,1.6,2,virginica,130,2025-11-08 05:52:04.518072
7.4,2.8,6.1,1.9,2,virginica,131,2025-11-08 05:52:04.518072
7.9,3.8,6.4,2.0,2,virginica,132,2025-11-08 05:52:04.518072
6.4,2.8,5.6,2.2,2,virginica,133,2025-11-08 05:52:04.518072
6.3,2.8,5.1,1.5,2,virginica,134,2025-11-08 05:52:04.518072
6.1,2.6,5.6,1.4,2,virginica,135,2025-11-08 05:52:04.518072
7.7,3.0,6.1,2.3,2,virginica,136,2025-11-08 05:52:04.518072
6.3,3.4,5.6,2.4,2,virginica,137,2025-11-08 05:52:04.518072
6.4,3.1,5.5,1.8,2,virginica,138,2025-11-08 05:52:04.518072
6.0,3.0,4.8,1.8,2,virginica,139,2025-11-08 05:52:04.518072
6.9,3.1,5.4,2.1,2,virginica,140,2025-11-08 05:52:04.518072
6.7,3.1,5.6,2.4,2,virginica,141,2025-11-08 05:52:04.518072
6.9,3.1,5.1,2.3,2,virginica,142,2025-11-08 05:52:04.518072
5.8,2.7,5.1,1.9,2,virginica,143,2025-11-08 05:52:04.518072
6.8,3.2,5.9,2.3,2,virginica,144,2025-11-08 05:52:04.518072
6.7,3.3,5.7,2.5,2,virginica,145,2025-11-08 05:52:04.518072
6.7,3.0,5.2,2.3,2,virginica,146,2025-11-08 05:52:04.518072
6.3,2.5,5.0,1.9,2,virginica,147,2025-11-08 05:52:04.518072
6.5,3.0,5.2,2.0,2,virginica,148,2025-11-08 05:52:04.518072
6.2,3.4,5.4,2.3,2,virginica,149,2025-11-08 05:52:04.518072
5.9,3.0,5.1,1.8,2,virginica,150,2025-11-08 05:52:04.518072
